Reforma del estado,Combate a la corrupción,Seguridad Paz y Justicia,El papel de México en el mundo,Estado,Distrito
"Necesitamos realizar las revoluciones de la conciencia, crear una reforma educativa ",Que las asociaciones civiles o fundaciones  sean investogados sus recursos cuando no cuenten con registro ,"proyectos de prevención , educación en lo cotidiano que se lleven de forma permanente ",,CDMX,3
,Propongo que los servidores que practiquen corrupción no solo los cambien de lugar sino que también los enjuicien y de ser necesario los metan a la carcel ,Participación ciudadana desde su colonia y solidarizarse con la colonia ,,CDMX,3
,"La vigilancia ciudadana debe ser permanente, no dejar todo a la autoridades ",Necesitamos que la guardia nacional tenga muchos más elementos ,,CDMX,3
,Con auditorias gubernamentales constantes a todo tipo de empresas ,Que todo el personal del ejercito busque a las celulas delincuenciales ,,CDMX,3
,"Subir el sueldo a los trabajadores del gobierno, ya que con salarios bajos obligan a los trabajadores a lucrar ",Crear asistencia justa de género ,,CDMX,3
,Generar dentro del horario laboral del servidor publico talleres de orientación parea que no hagan corrupción,Establecer candados para que el ejercito no caiga en abusos ,meter más diplomaticos comprometidos con el pueblo porque muchos son elitistas ,CDMX,3
,"Dualizar todo el esquema administrativo, gestionando y el otro controlando ",que continue la guardia nacional en todos los barrios ,,CDMX,3
,Que pongan controladores para que no se roben el dinero de los mega proyectos ,Transparencia en la delcaración patromonial a todos los cargos altos de seguridad ,,CDMX,3
,Eliminen los sueldos exagerados ,"Hacer limpieza de jueces, altos mandos de la policia , investigacioón a los amafiados corrruptos ",,CDMX,3
,Los empresarios capitalistas son corruptos ,La guardia nacional necesita más equipos y armas porque están austeros ,,CDMX,3
,Es ncesario la trasparencia en cualquier lugar privado y público ,,,CDMX,3
,carcel a los ex presidentes corruptos ,,,CDMX,3
,Promover valores cívicos ,,,CDMX,3
,Cancelar el outsourcing,,,CDMX,3
,Mayor trasparencia a todos los niveles de gobierno ,,,CDMX,3
,Se debe poner una fiscalia competente ,,,CDMX,3
,"Vigilar a la burocracia , auditar todas las causas que retienen ",,,CDMX,3
,meter a la carcel a las empresas saltelites del PRI y PAN ,,,CDMX,3
Disminuir la cantidad de diputados,Sanciones económicas ejemplares a los corruptos.,Que haya seguridad cámaras de seguridad y policías en las calles. ,Tratados internacionales en la reforma del Estado.,CDMX,5
