Reforma del estado,Combate a la corrupción,Seguridad Paz y Justicia,El papel de México en el mundo,Estado,Distrito
Que los funcionarios al no cumplir con las leyes sean destituidos ,Mayor severidad con funcionarios que cometan actos de corrupción ,Colaboración entre los diferentes niveles de gobierno y apoyo en desarrollo tecnológico para hacer frente a la violencia,Protección a migantes,CDMX,14
Que los magistrados y tribunales hagan su trabajo de justicia para todos y no al servicio de los poderosos. Si no cumplen que sean destituidos.,Trabajar en escuelas y familias para cambiar la dinámica de competencia a costa de nuestros principios,Cambiar a funcionarios corruptos y cambiar a los jueces,Avance en tecnología para crecer ,CDMX,14
Legislaciones para reducir la burocracia y ser más contundentes en el trabajo legislativo contra corrupción,Aplicar la revocación de mandato en todos los niveles,Que exista un órgano que juzgue a los jueces,Mayor fomento en Ciencia y Tecnología,CDMX,14
Crear comités ciudadanos de vigilancia y acompañamiento de la gestión de jueces,Establecer que sea un delito grave en todos los niveles,Dar golpe económico a la delincuencia ,Asesoría e intercambio en materia de tecnologías para mejorar la educación científico- tecnológica,CDMX,14
Legislar a favor del derecho a la información,Impulsar asambleas comunitarias para la rendición de cuentas y la  evaluación del trabajo de gobierno,Revisar la institución de justicia o modificar totalmente este órgano,Defender el interés del pueblo y no de las transnacionales ni privados,CDMX,14
Que jueces y órganos de justicia informen públicamente y demuestren ser justos,La lucha contra la corrupción necesita una ofensiva cultural gigante,Crear grupos de trabajo social para revisar los apoyos de adultos mayores porque sus familiares los dejan sin recursos,Transferencia de tecnolgías de empresas privadas a empresas estatales,CDMX,14
Que se haga juicio a todo servidor público,Apoyarse en la educación y en medios de comunicación para fomentar valores que ayuden a combatir la corrupción,Que haya acceso al c5 para minimizar el daño a las víctimas,Cuidemos México frente a los privados,CDMX,14
Que los burócratas recorran el territorio para conocer las necesidadesd de la gente,Que podamos conocer mejor a nuestros representantes y sus propuestas de gobierno,Que haya congruencia entre la crítica constante al neoliberalismo pero continúa la violencia y la injusticia,Morena debe convocar a una reunión por el Bienestar Mundial y de América Latina,CDMX,14
Quitar a los ricos y darles a los que no tengan,Ser parejos con todos los sectores de la justicia y de los poderes de gobierno,"Garantizar que se cumplan los principios: no mentir, no robar, no traicionar",Mayor difusión sobre la 4T hacia el exterior,CDMX,14
Que la burocracia de verdad trabaje en las necesidades que tiene toda la población y que se den cuenta de nuestras necesidades,No abandonar casos emblemáticos como la guardería ABC,Colaboración entre países para resolver los problemas de seguridad ,Análisis del tema inteligencia artificial,CDMX,14
Hace falta un órgano que vigile al funcionamiento de los encargados de la impartición de justicia,Acabar con el caciquismo,Atender las causas desde la educación básica y profundizar los apoyos de bienestar para padres trabajadores y estudiantes,Mayor inverción en innovación ,CDMX,14
Que todo cargo público sea de elección popular,No permitir que los funcionarios permanezcan muchos años en las instituciones de gobierno,Reforma al poder judicial,Impulsar relaciones estratégicas con China,CDMX,14
Mejorar la reforma de pueblos indígenas para que se apoye,Generar instrumentos para la participación social y entender que todos tenemos que hacer algo por cambiar hábitos contra la corrupción,Clases de civismo con nuestros principios tanto para estudiantes como para padres para erradicar el monstruo,Poner gente convencida del proyecto para defenderlo ante el mundo,CDMX,14
"Que exista una ley que garantice que no se pueda modificar la ley a favor de los particulares, reformando o creando una nueva constitución adecuada a los tiempos que estamos viviendo",Crear un observatorio ciudadano,Para profundizar realmente la justicia se tiene que elegir a todos los jueces,Mejor preparación de nuestros representantos para que otros no nos subordinen,CDMX,14
Mecanismos de evaluación para los aspirantes a cargos públicos en todos los niveles de manera mensual o bimestral,Mayor supervición a servidores públicos,Intervención en parques con eventos para jóvenes y fortalecer el tejido social,Integración Latinoamericana,CDMX,14
Evaluar a los aspirantes en todos los niveles,Que la gente que nos representa tenga mayor preparación y convicción frente al proyecto,Evaluar a cada servidor público para que ejerza su trabajo con honestidad,,CDMX,14
Que ningún funcionario gane más que el presidente de la república,Eliminar los compadrazgos ,Reformar al Poder Judicial porque no defiende al pueblo,,CDMX,14
Que auditen a los jueces,Inhabilitar de por vida a funcionarios que en el pasado hayan incurrido en actos ilícitos ,Necesitamos autoridades que no se corrompan,,CDMX,14
"Hace falta reforma de morena, debe ser un partido de nuevo tipo","Cambiar a ministros, quitar a jueces y policías corruptos",Que la policía no actúe atendiendo intereses económicos,,CDMX,14
Que se corrijan todas las formas y leyes para gobernar,Cambiar las leyes a favor de los ciudadanos para que no sean para los ricos que abusan y compran ministerios,Elegir a los jueces,,CDMX,14
Que los alcaldes visiten las alcaldías que gobiernan para conocer las necesidades,Supervisar istituciones gubernamentales desde el municipio hasta los funcionarios más altos,Seguir educando a las fuerzas armadas y no se vendan,,CDMX,14
Que las leyes sean aplicadas de manera igualitaria para todos ,Procesar corruptos incluso de morena,Crear un órgano que juzgue al sistema de justicia,,CDMX,14
Ganar el congreso ,Creo que para combatir la corrupción debemos manifestarnos como pueblo. Que haya más mecanismos para estar más conscientes de todo lo que pasa,"Checar los ministerios públicos porque son puros corruptos, cambiar las leyes para los ciudadanos vulnerables y no para los ricos ",,CDMX,14
Avanzar en el proceso de repartición de la riqueza a través de una Reforma Fiscal profunda y progresiva,"Mayor intervención de la ciudadanía en la fiscalización de empresas, creación de consejo ciudadano",Que a nivel constitucional se garantice nuestro derecho a la ciudad segura,,CDMX,14
Que los diputados reformen la Constitución atendiendo las necesidades de la población,,,,CDMX,14
Hacer que constituyente,Combatir al cartel inmobiliario en la benito juarez,Fortalecer y proteger a las buscadoras,Formacion de un bloque economico latinoamericano,CDMX,15
Reforma al sistema educativo para incluir a los contenidos impartidos en asignaturas,seguimiento a la corrupcion del alcalde de BJ,acabar con la impunidad,dar voz pernantemente a nuestros connacionales,CDMX,15
"Reforma al poder de los organos de justicia, eficientar los procesos",cambiar SCJN,uso de tecnologias para fomentar 0 tolerancia,integrar migrantes como ciudadanos con derechos,CDMX,15
eficientar los procesos de denuncias,no mas diezmos,combatir corrupcion de jueces,ingles de alto nivel en todas las escuelas,CDMX,15
que se investigue a los miniistros de la  SCJN,fomentar cultura de la denuncia contra servidores publicos en contra de la corrupcion,implementar programas culturales permanentes,que se cancele el tratado de bucarelli,CDMX,15
Desaparicion de organos autonomos inecesarios ,mejor vigilancia en las calles,crear escuela de formacion policial con enfoque etico humanista,reducir condicionamiento de tratados economicos y recuperar territorio concecionado,CDMX,15
mejores servicios de parte de servidores publicos,concientizar sobre el tema a niños en las escuelas,homologacion salarial. Registro nacional de todos los policias.,soberania monetaria,CDMX,15
Respeto a la autonomia de los poderes,poner a escrutinio publico todas las instituciones y poderes,el que poder judicial tenga contraloria eficaz ,dar representacion politia a mexicanos en eua ,CDMX,15
incluir acuerdos de san andres e incluir pueblos y naciones indigenas como sujetos de derecho,exigir etica a los medios de comunicacion,que el programa social de PILARES sea federal,apoyo a desarrolladores mexicanos,CDMX,15
"En caso de no garantizar las propuestas del presidente, que reforme y modifique la constitucion para disolver el poder judicial",consultar a la poblacion en decisiones de beneficio local ,reforma y buenos presupuestos al poder judicial en los municipios,profundizar alianzas con latinoamerica,CDMX,15
que se de importancia a mañaneras por radio,escrutinio a todos los servidores,que puedan existir apoyo para personas que tengan un proyecto de interes publico,creacion de institucion independiente de RE para ayudar a nuestros compatriotas,CDMX,15
dar por concluida deuda del fobaproa,"combatir corrupcion en BJ, ya no mas construcciones de inmuebles",implementar grupos de trabajo que permita identificar a sobornadores,reduccion de dependencia con EUA e integracion a nuevos bloques economicos,CDMX,15
revision profunda en la vida de servidores publicos para garantizar que no exista vicio y corrupcion,que se elija al fiscal general para que cumpla,Contratar mas personal para impartir mejor justicia,insercion en competencia en area de humanidades,CDMX,15
"que haya revocacion de mandato para jueces, magistrados y ministros",que haya auditorias sorpresa y anonimas,formas de comunicacion eficiente con la ciudadania ,que se haga un programa para que los indigenas artistas puedan registrar y proteger su obra del plagio y puedan exportar,CDMX,15
Reforma a organismo autonomos,trabajar con la sep para que a traves de la educacion se enseñe a distinguir y combatir la corrupcion,Despenalizar y regular el consumo de drogas,censo de mexicanos en el mundo apra hacerlos sujetos de derecho,CDMX,15
"Reforma fiscal, naturaleza como sujeta de derecho, todo cargo publico a revocacion de mandato",control de confianza a candidatos,Implementar cultura de la denuncia,proteger a los migrantes que pasan por México y mejorar los salarios,CDMX,15
Ley retroactiva del articulo 39 que garantice el interes publico en entidades ,"vincular auditorias ciudadanas o comunitarias con las de la ASF del congreso, los titulares de las auditorias deben ser electos",Dar mayor atencion a personas desaparecidas,"revisar politica migratoria, no es correcta",CDMX,15
Fomentar celulas ciudadanos para la toma de decisiones y que tengan valor legal,omision es corrupcion,desarrollar e iniciar formacion de policias locales supervisado por la guardia nacional,,CDMX,15
Un sistema tipo blockchain,modificar ley federal del trabajo ,Juzgar jueces corruptos,,CDMX,15
Canal real para la denuncia ciudadana de malos comportamientos de los servidores publicos ,reforma selectiva a los empleados de base de la burocracia,Reestructurar las fiscalias con personal etico y profesionalmente capacitado con verdadera vocacion de servicio,,CDMX,15
Establecer mecanismo de evaluacion para que el presupuesto se les asigne anualmente responda a necesidades de instituciones,mejores salarios a la policia,Fomentar valores eticos y morales desde la escuela,,CDMX,15
Reforma fiscal  y revocacion de mandato general,mas policias en la calle,que las instituciones sean claras y justas,,CDMX,15
que haya mas mecanismo de control y vigilancia,cuidar corrupcion en los municipio,Que se tome en cuenta la voz de los mitines para el combate a la inseguridad,,CDMX,15
audiciencias publicas obligatorias,reforma a los salarios del poder judicial,Reforma a ley antidrogas,,CDMX,15
que se ajusten los enormes sueldos de ministros,que se procese a jueces que liberan a los delincuentes ,Profesionalizar MPs. Dar facultades de investigacion de delitos a fiscalias.,,CDMX,15
promover entes ciudadanos de control y supervision de funcionarios,revocacion de mandato a todos los servidores publicos,Realizar esquema de trabajo multidisciplina en zonas conretas de alta violencia,,CDMX,15
Reforma de procuracion agraria y reforma al poder judicial,definir criterios de seleccion de candidatos,Reforma profunda al poder judicial,,CDMX,15
que funcione Bienestar Animal,dotar de dientes a organos internos de control ,"Fin a la precarizacion del trabajo, Fin al outsourcing.",,CDMX,15
que ayuden a normalizar condomnios que estan en copropiedad,judicatura debe poder sancionar jueces mas alla de lo administrativo,Abolir las leyes que violan derechos humanos como la ley a giros mercantiles de CdMx que promueven Tabledance,,CDMX,15
potenciar y dar a conocer organos internos de control,Reformar la ley general de sistema nacional anticorrupcion,Mas feminismo popular para ir a la raiz de la desigualdad,,CDMX,15
Que se establezca la revocacion de mandato en todos los poderes,,dar voz a las victimas de la violencia,,CDMX,15
Carcel a expresidentes y servidores publicos,,no militarizar al pais sin que nadie los regule,,CDMX,15
que en el art. 123 de la constitucion se garantice la participacion de los gobernadores en los cosejos de admin,,fortalacer prevencion social del delito,,CDMX,15
adelgazar la administracion publica,,Voltear a ver la educacion generando conciencia social y no solo empresarial ,,CDMX,15
"una reforma al estado implica un cambio profundo en la relacion con el gran capital nacional y trasnacional, reforma fiscal",,garantizar la salud de la poblacion,,CDMX,15
impulsar desde el civismo donde lo mas importante sea la comunidad,,urge incluir mas en la constitucion el respeto a los pueblo originarios y sus derechos como los panteones ,,CDMX,15
Reforzar instituciones bancarias como el banco del bienestar,,Mayor formacion a la policia,,CDMX,15
Desaparicion del sistema nacional anticorrupcion,,Creacion y capacitacion e cuerpos civiles en los gobiernos locales,,CDMX,15
"hacer un 4to poder, poder electoral",,,,CDMX,15
reforma total al poder judicial,,,,CDMX,15
que ya no existan juicios sin resolver despues de 2 años,,,,CDMX,15
Reforma agraria,,,,CDMX,15
"Instrumentos para sancionar jueces, ministerios publicos y miembros de la SCJN",,,,CDMX,15
Para que tengan resultados positivos estas reformas es importante que se termine con la corrupción y que los servidores públicos sean personas del pueblo gente preparada honesta y confiable,Frenar la compra de medios frenar las obras,Mayores oportunidades trabajo educación acceso a la cultura,Soberanía alimentaria,CDMX,17
Reforma del sistema de justicia,Todos son importantes,Definitivamente es necesario retomar los valores en cada una de nuestras comunidades,,CDMX,17
Reforma laboral más salario más prestaciones laborales,Hacer auditorías en cada una de las alcaldías especialmente en cuajimalpa en recursos humanos y en todas las áreas y en todas las alcaldías de la Ciudad de México,Formar escuelas de alto nivel como CH prepas de la unam y centros culturales,,CDMX,17
Reforma constitucional para lograr la plena soberanía energética y la del agua como propiedad de la nación,Castigos más severos,Agilizar o acortar los procesos,,CDMX,17
Que se revise a todas las personas que trabajan en las cárceles para rehabilitar a los internos y que se agilice el proceso,Tener buenos soldados que no se vendan para el beneficio del país,,,CDMX,17
Nacionalizar los sectores estratégicos de la economía sector salud y energía,Agilizar o cortar los procesos,,,CDMX,17
,Crear comisiones especiales para garantizar la justicia,,,CDMX,17
Aumentar sanciones administrativas y penales a los funcionarios corruptos,Combate a la venta de drogas,Mecanismos de participación para seguridad por colonia,Seguir preservando la autodeterminación nacional,CDMX,18
Garantizar que los ministros sean electos democráticamente por el pueblo y que no haya posibilidad de fraude o compra de voto,Exponer a servidores públicos corruptos para que no incurran en las mismas prácticas,Capacitación a policías que no cumplen con su papel,Preservar el respeto a la soberanía de los pueblos; apoyar a pueblos hermanos de América Latina,CDMX,18
Que todos los servidores públicos tengan los mismos sueldos que los ciudadanos comunes y corrientes,Mayor vigilancia al interior del Congreso de la Unión,Otorgar becas obligatorias y acceso a comedores de estudiantes que realizan servicio social en instituciones de gobierno y empresas,Más cuidado con los migrantes,CDMX,18
Que los ministros sean electos por el pueblo y no ganen más que el presidente,Que los órganos internos de control seal electos. Que respondan a los bienes públicos,Mayor vigilancia en territorios rojos,,CDMX,18
Creación de medios sociales de comunicación pública,Que los servidores públicos corruptos sean juzgados y se les quite lo robado,Más programas sociales,,CDMX,18
Que haya contralorías sociales y ciudadanas para vigilar ,Mecanismos de participación para supervisar que los funcionarios cumplan y sean honestos,"Las fuerzas armadas no deben estar en las calles, una de las propuestas de cmpaña de AMLO fue precisamente sacar al ejército de las calles",,CDMX,18
Más apoyos a estudiantes,,,,CDMX,18
Reforma al poder judicial a profundidad,,,,CDMX,18
Reforma al poder judicial; fin al fuero a diputados y senadores; reforma a la ley de procesos electorales,,,,CDMX,18
Reforma contundente al Poder Judicial,,,,CDMX,18
,Profecionalizar a los servidores públicos ,,,CDMX,19
,Que los servidores públicos asuman la carta de moralidad ,,,CDMX,19
,Que corran a los corruptos,,,CDMX,19
Que los órganos autónomos rindan cuentas al poder del Estado que los haya propuesto ,Que los alcaldes promuevan la participación del pueblo y le den seguimiento ,Que los cuerpos policiacos no abusen de su cargo,,CDMX,19
Vigilancia del pueblo,Brindar herramientas jurídicas de carácter vinculatorio. Someterse a las obsevaciones ciudadanas y establlecer claras sanciones a los actos de corrupción.,"Que los ministerios públicos sean más empáticos y den atención adecuada a las mujeres victimas de la violencia de género, de manera pronta y efectiva. No esperar a actuar cuando sea demasiado tarde",,CDMX,19
Que los programas de apoyo aestudiantes sean tanto para escuela pública como privada ,Que se promueva y se porteja la participación del pueblo en la denuncia para el conbate a la corrupción,Poner atención a los jóvenes y darles aportunidades ,Realización de las gestiones necesarias para que nuestros imigrantes sean nacionalizados ,CDMX,19
Verificar de manera exaustiva los recursos para pueblo,Reformar el poder judicial de la federación ,Designar más recursos para que los jovenes estudien y no acigan en la delicuencia ,Salvaguardar los principios éticos y morales de nuestra nación ,CDMX,19
Apoyo a las perosnas de la diversidad sexogenerica,Empezar el combate a la corrupción por la limpieza de los ministerios públicos y la secretaria de salud,"Que se peomueva más el deporte, la cultura, para combatir de raíz la violencia ",Reforzar la ayuda y defensa a inmigrantes,CDMX,19
Que todos los servidores públicos salgan a las calles a conocer todas las necesidades de la población  ,Informar a la población para que participe en el combate a la corrupción,Que las fuerzas armadas no participen en labores seguridad ciudadana ,Autosuficiencia enérgetica y alimentaria para despues poder exportarlos ,CDMX,19
Que los jueces y ministros sean electos por el pueblo y tengan un perfil adecuado y tengan una verdadera carrera judicial ,Impulsar un registro de personas involucradas en actos de corrupción y conflicto de intereses en administraciones anteriores ,Creación y acceso de bases de datos donde se registren las faltas de los servidores públicos,Inserción al BRICS,CDMX,19
"Una reforma fiscal más objetiva y rigurosa frente a las grandes empresas, empresarios y grandes fábricas ",,Combatir la corrupción en ministerios públicos ,,CDMX,19
Atender más a los adultos mayores ,,Hacer cumplir los derechos de los pueblos indigenas a nivel nacional,,CDMX,19
Acceso a la información por medio electronicos para una supervisión de los servidores públicos,,,,CDMX,19
Reforma judicial. Que los ministros sean dados a conocer y hagan labor de justicia al pueblo; que no sean despilfarradores; que se les pague lo justo.,Que se destituya a burócratas que no cumplan. Que haya un filtro de certeza para garantizar la justicia.,Que se destituya a burócratas que no cumplan. Que haya un filtro de certeza para garantizar la justicia.,Que todos los países tengan proteccción a los migrantes.,CDMX,21
Reforma en materia de seguridad.,Que se investigue a los servidores públicos.,"Cambios en el poder judicial para que se nos informe. Conocimiento entre vecinos,",Elegir bien al cuerpo diplomático.,CDMX,21
Reforma electoral.,Que existan órganos autónomos que vigilen la aplicación de leyes con transparencia.,Rectoría del Estado de los programas sociales.,Impulsar las culturas originarias.,CDMX,21
Reforma laboral que garantice el derecho al trabajo. Reforma judicial para una mejor designación de los ministros.,Reducir altos sueldos y mejores condiciones laborales,Organizar y capacitar nuestros servicios de seguridad pública.,Seguir impulsando la resolución de los conflictos internacionales.,CDMX,21
Crear mecanismos reales y efectivos de participación comunitaria en la orientación del presupuesto.,Combatir la discrecionalidad en el uso de los recursos.,Justicia para todas las mujeres que están en los reclusorios injustamente. Revisar sus expedientes y que las pongan en libertad.,Impulsar la defensa de  nuestra cultura.,CDMX,21
Que el voto sea obligatorio.,Impulsar la austeridad y combatir la impunidad.,Mejorar la infraestructura sanitaria. Más hospitales regionales.,Recuperar la dignidad y el respeto de nuestro país como libre y soberano.,CDMX,21
Que quien haya ocupado un cargo no pueda ocupar otro de manera inmediata.,Que los funcionarios tengan el perfil para el cargo que ocupan. Que tengan licenciatura.,"Reformar empresas como Pemex, CFE y Salud.",No someterse a los Estados Unidos,CDMX,21
"Que los ministros no sólo sean elegidos por el pueblo, sino que se les retiren los privilegios.",Eliminar el fuero y disminuir el aparato burocrático haciendo uso de la tecnología.,Empleos para adultos mayores.,Agruparnos con América Latina,CDMX,21
Consulta ciudadana en materia de justicia.,No permitir amparos en casos de corrupción,Equidad de genero.,Impulsar un bloque de países progresistas latinoamericanos.,CDMX,21
,Contralorías en todas las dependencias.,"Fomentar actividades recreativas, deportivas y cuilturales.",Solidaridad con los perseguidos políticos.,CDMX,21
,Que quien aspire a algún cargo sea investigado.,Fortalecer los barrios y comunidades.,Impulsar políticas internas.,CDMX,21
,Evitar la privatización.,Fortalecer los derechos humanos.,Dar empleos y opciones a mexicanos migrantes que quieren regresar al país.,CDMX,21
,"Elección de los magistrados, rotar a los policías, personal de migración, ejército. Mejores sueldos. Juicio poliítco a corruptos.",Modelos de educación en contra de la violencia intrafamiliar.,Proteger a los indocumentados para que no los tome el crimen organizado.,CDMX,21
,"Contraloría social, Comisión o consejo vecinal.",Educación en ética y valores de forma masiva.,,CDMX,21
,,Redistribucuón de la riqueza.,,CDMX,21
,,Más participación ciudadana.,,CDMX,21
,,Fomentar empleo a toda la población.,,CDMX,21
,,"Derechos a niños, mujeres y jóvenes.",,CDMX,21
,,"Más talleres como Pilares, Utopias que ayudan a desarrollas habilidades y valores; fortalecen a la sociedad.",,CDMX,21
Que apoyen mas a la 4T,Una comisión plural para vigilar a todas las dependencias del gobierno para que ahiga control,Participar y exigir la misma,Los que trabajan en otro pais regresen y tengan los beneficios de su pais,CDMX,22
Que los magisterios se bajen el salario,Educar a los estudiantes para que no sean corruptos eso comienza en la familia y la escuela.,Apoyar a nuestro gobierno principalmente a nuestro presidente,Que se logre aterrizar la nueva escuela mexicana,CDMX,22
"La burocracia sea un compromiso que conozca cada zona,lugar rincón del pais que las necesidades que se tengan ",Que el pueblo luche para sacar a los políticos corruptos,También que den trabajo a las personas con alguna discapacidad,"Fortalecer a los jovenes "" Por qué son el futuro de méxico"".",CDMX,22
"Que se recorten senadores, diputados y que sean votados por la ciudadania.",Que siga la guardia nacional y que se profundice en las colonias y estados con más violencia.,Crear escuelas con maestros capacitados y con el valor académico de las preparatorias  en este caso con la infraestructura  en todo.,Que se termine con los vende patrias.,CDMX,22
Que sean elegidos por el pueblo.,Es necesario seguir despertando al pueblo mexicano,Empezar por ayudar a las mujeres o grupos que buscan desaparecidos.,Solución ya a Luz y fuerza esta perdiendo la nación cientos de millones de pesos.,CDMX,22
"El estado debe reconocer la precarización de la industria eléctrica principalmente recontratar a los trabajadores, de la luz y fuerza , esta dejando de contratar de CFE mientras los pocos  al no pago a solucion ya.",Denunciar todas las anomalías para evitar corrupción,No negarnos a la seguridad en todos los niveles de gobierno de la 4T somos pueblo apoyarnos de nuestro gobierno,Haya mas inversión extrangera,CDMX,22
Para que aya paz Sacar a las ratas del PRI PAN Y PRD,Que saquen a los policias corruptos ay muchos que los investiguen que deveras los castiguen,Que se destinen mas recursos en armas para los policias y mas unidades,Que México tenga relación comercial con todos los paises del mundo sin distinción alguna,CDMX,22
Son dos propuestas diferentes las dos son muy buenas. Sería de hacerlas ley y que ya no sea burocracia sino servidores de la nación y se comporten como tal atendiendo a la poblacion,Denunciar todo lo malo para erradicar la corrupción,Que a todas las personas de seguridad les agan la prueba de confiabilidad,Más apoyo a las empresas mexicanas y creditos o inversion extranjera,CDMX,22
Por que deberas cumplan nuestras solicitudes,Solo elegidos por el pueblo y para el pueblo,Una ley para defender a los policias ,Ayuda económica de los paises que más tienen a los paises que menos tienen.,CDMX,22
Que los ministros los elija el pueblo y no ellos lo decidan y que sea electo por el pueblo y sigo insistiendo que haya mas trabajo en todo el pais que ponga mucha industria,No fomentar,"Que los policias actuen para evitar el narco, la venta de sustancias prohibidas Hay proliferación de narco tiendas y no se hace mucho se tolera",Paz no vilencia pero que se note,CDMX,22
Que no quieran No mas AMLO que hagan su trabajo con responsabilidad y respeto,Fomentar la no corrupci´øn desde casa no negociando con los hijos las tareas del hogar que les corresponden ,"Educar a los policias, no que tenemos miedo al ver un policia.",A los mexicanos capaces de emprender negocios nos den las facilidades de relacionarnos,CDMX,22
Enseñarnos como deberiamos votar actualmente como se hace quien revisa actualmente,Denunciar y pedir respuesta,Hacer o presentar una ley que los espacios públicos se respeten por todos.,Difundir en TV,CDMX,22
A mi no me parece que los ministros hechen abajo lo que el pueblo quierey la fuerza del senado y cámara de diputados pueda la legislación por 11 ministros,Nos gustaria que se quede el ejercito y guardia nacional,Para tener paz sacar a los ministros,Nuestro México fue un pais fuerte y nuestro peso valia para que vuelva hacer tenemos que trabajar duro para que sus hijos no tengan que salir,CDMX,22
Que nuestros gobernantes sean más justos en todas las demandas de la índole que sea y no por que somos pobres nos aplasten más como a gusanos,Devolver el problema de remuneración laboral de los trabajadores de luz y fuerza a privado el trabajo por el rata espurio calderon,Continuar con la creación de instituciones educativas ( Universidades) y la orientación de jóvenes.,El pueblo pone el pueblo quita,CDMX,22
"Sobre todo para personas mayores pensionadas, que haya clínicas del IMSS en las colonias de Iztapalapa como las 4 colonias de San Pablo, por que la clínica 31 que no es suficiente hospital de zona 47",Auditoria al antes y despues y como y por que ,Tener que investigar a las patrullas en torno a que no ven los puntos rojos pero no ayudan a un ciudadano indefenso,Agilizar los tramites migratorios para los vecinos latinoamericanos y que puedan llegar a donde van,CDMX,22
Que todos los servidores públicos tengan buenas formas de atención al pueblo.,"La ley sea justa para todos, no es justo que los ricos tienen todo eso a favor ",Se están perdiendo cientos de militares de millones de pesos por la huelga de miles de millones de pesos a CFE,Las tres propuestas en una sola condensada,CDMX,22
Que no se quede en palabras y sean con hechos y ya es necesario abatir la desigualdad.,,Implementar leyes mas severas para delincuentes con delitos graves,Dar a conocer las propuestas,CDMX,22
Fortalecer la 4T y que el gobierno apoye al pueblo que lo apoya ,,Solicito Rondines de la guardia nacional por lo menos una ves por mes,Continuar con la doctrina Estrada,CDMX,22
"Que se elimine por completo la corrupción en todos los niveles del servicio público, por que todavía falta.",,Pide respeto y apoyo ,Reformar la tecnología,CDMX,22
Que los organismos autónomos tengan más auditorios y den cuentas al estado con mas claridad de gastos.,,Que a todas las personas les den más información y que las personas traten de esta mas informadas.,Pedir que en el mundo reconozcan el esfuerzo de mexico,CDMX,22
Continuar con el movimiento de morena y de nuestra organización.,,Que haya mas seguridad y paz y justicia en todo el pais y mucho trabajo y fabricas y trabajo y mejor salario,No descalificar gobiernos de otras naciones.,CDMX,22
Tampoco crean coartar la libre opini´øn de la población y los favorescamos y ministros de justicia el gobierno no sabe litigar los asuntos del gobierno,,Fortalecer comunidad y tejido social,,CDMX,22
Mano dura contra la delincuencia no abrazos no funciona,,Que se implementen policias de genero en cada colonia en México,,CDMX,22
Investigas a fondo a todos los funcionarios públicos delimitar que personas pueden ser funcionarios y quienes no.,,Lucha contra el narcotrafico y combate a corrupción,,CDMX,22
"Educar a la burocracia y que sean servidores públicos, que sirvan al pueblo con respeto y consideracion.",,,,CDMX,22
Que los municipios tengan una vez por mes reunion con todos los comites de todas las colonias.,,,,CDMX,22
Que no ganan tanto y que de verdad den fallos justos para la transformación del pueblo y no se vendan por comodidad y se sientan dueños del pais.,,,,CDMX,22
,,Establecer politicas de seguridady tener estados de excepcion donde sea necesario,La parte ecologica para mejorar las futuras generaciones,CDMX,23
,,Que la guardia de seguridad nacional pertenezca al ejercito y no se corrompa,Que deje de existir la privatizacion de los recursos,CDMX,23
,,Depurar a la policia local y Estatal,Mayor inversion a ciencia y tecnologia,CDMX,23
,,"Fortalecer programas sociales que contribuyen a su vez, mercado interno y P.I.B",Defensa de los inmigrantes,CDMX,23
,,Mas educacion,Mas apoyo a empresas mexicanas para expandirse al extranjero,CDMX,23
,,"Mejoramiento de fiscalias, reforma juducial federal y locales",Apoyar a otros paises para crecer,CDMX,23
,,Impulsar la organizacion de la poblacion para regenerar el tejido social,Fortalecer la politica interior defendiendo nuestros bienes,CDMX,23
,,Renacionalizacion de la industria electrica,Que se instale internet economico a todas las regiones de Mexico,CDMX,23
,,Capacitacion y seguimientoa jueces,Independencia de potencias extranjeras en nuestra educacion,CDMX,23
,,Examenes psicoeconomicos a los servidores publicos,Mas oportunidades para los mexicanos en el extranjero,CDMX,23
,,Psicologos gratuitos,Salarios Justos,CDMX,23
,,Aplicar mayor presupuesto a la seguridad ciudadana,"Tener relacion con mas paises , mas embajadas.",CDMX,23
,,Que se reconozcan a los profesionistas para mejor sueldo,Atencion respetuosa a los paisanos en los consulados,CDMX,23
,,Visitas territoriales para recabar quejas de vecinos,Impulsar a jovenes para estudiar en el extranjero y a cientificos mexicanos,CDMX,23
,,Atender a los dañados por las drogas,No al maltrato de los conacionales en los consulados,CDMX,23
,,Dar castigos a los ejemplares a quienes cometan algun tipo de violencia amujeres niños y adultos mayores,Contribuyendo con la paz.,CDMX,23
,,Reforma a poder judicial,Fortalecer imagen ante America Latina,CDMX,23
,,Que la intervencion de la fuerza publica sea expedita,Se de una culturade Soberania Nacional desde la primaria ,CDMX,23
,,Atender a las juventudes ,Tratar de ayudar a mas connacionales,CDMX,23
,,Participacion de la guardia nacional,Que se realice lo que estan pidiendo,CDMX,23
,,Aprovechar la experiencia de las personas adultas y apoyarlas,"Apoyo a jovenes universitarios, para evitar la fuga de cerebros ",CDMX,23
,,Retomar las reformas que no sehan podido realizar,Atencion respetuosa a los paisanos en los consulados,CDMX,23
,,Que se haga uso de la tecnología para la aplicación de la justicia,Aumentar la defensa de los recursos energeticos,CDMX,23
,,Que los niños y los jóvenes tengan lugares de convivencia sana,,CDMX,23
,,"Mejoramiento de fiscalias, reforma juducial federal y locales",,CDMX,23
,,Equidad,,CDMX,23
,,Mejorara la atención hacia la ciudadania,,CDMX,23
,,Poner más cámaras de seguridad,,CDMX,23
,,Destitucionalización imediata a jueces y magistrados corruptos,,CDMX,23
