Reforma del Estado,Combate a la Corrupción,"Seguridad, Paz y Justicia",El papel de México en el Mundo,Estado,Distrito
Juicio político para los ministros de la Suprema Corte corruptos y elegir a varios nuevos,Cuidarles más las manos a los servidores públicos,Mejorar los controles y retomar valores en las escuelas y disciplina ,Se regule las leyes sobre migración tanto al interior como al exterior,CDMX,4
Garantizar que las instituciones y niveles de gobierno sean evaluados por supervisores y organos fiscalizadores de los órganos autónomos,"Hacer auditorías en las colonias, unidades y dar más información del presupuesto que se destina a colonias y unidades",Buzón de quejas de seguridad comunitaria,,CDMX,4
Fuera la corrupción,Romper y acabar con el nepotismo ,Seleccionar bien a los que ponen orden y no que estén los García Luna,,CDMX,4
"Que los ministros sean elegidos por la ciudadanía, no por dedazo.",,Faltan elementos de seguridad territoria en las colonias populares de Iztapalapa,,CDMX,4
Que no humillen ni agredan a las identidades de género, ,,,CDMX,4
Conocer realmente quién es el ministro que va a servir a la nación,,,,CDMX,4
Disminuir la cantidad de diputados,Sanciones económicas ejemplares a los corruptos.,Que haya seguridad cámaras de seguridad y policías en las calles. ,Tratados internacionales en la reforma del Estado.,CDMX,5
Disminución del número de diputados y senadores. Eliminación de órganos autónomos.,Penas severas a los funcionarios públicos que comentan actos ilícitos. ,Coordinarse con las guardias comunitarias y no criminalizarlas. ,Lograr la mayor integración latinoamericana.,CDMX,5
Proponer una política industrial.,¡Cambio de verdad! Hoy sigue existiendo desempleo violencia y corrupción.,Justicia real. ,Mirar a los pueblos el porqué de la migración. ,CDMX,5
Siempre quitar los privilegios.,"Registro, carta de antecedentes penales y no reelección de funcionarios públicos.","Revisar las propuestas de Pérez Ricard sobre desaparecer las policías municipales, y hacer un mando único que coordine todos los esfuerzos quitar la autonomía de las fiscalías.",Manifestarse en foros internacionales promoviendo la paz entre todos los países.,CDMX,5
Queremos libertad de expresión y justicia y no impunidad a los rateros políticos. ,Se necesita atender con mas eficiencia a las personas que necesitan ayuda. ,Reformar ministerios públicos. ,Realizar alianzas económicas con países afines en objetivos e intereses nacionales. ,CDMX,5
Elección popular de servidores en los organismos autónomos.,"Que el pueblo decida, con nuestros votos. ",Que trabajen bien.,No sigan negociando la tierra mexicana.,CDMX,5
"Aún falta que les sigan bajando los sueldos estratosféricos a muchos funcionarios, pues el pueblo gana muy poco, un salario mensual como de $10,000.","Por México, cero corrupción siga la 4T. ",Evaluar desempeño periódico de ministerios públicos y jueces. ,Conformación bloque Latinoamérica. ,CDMX,5
Territorio y escritorio ,Rendición permanente por varias vías del uso de recursos.,Seguir promoviendo cursos para los policías para seguir incrementando su salario y atender mejor a la ciudadanía. ,Que se de atención prioritaria en las necesidades de los connacionales.,CDMX,5
