Reforma del Estado,Combate a la Corrupción,"Seguridad, Paz y Justicia",El papel de México en el Mundo,Estado,Distrito
Tenemos que elegir a las personas honestas en nuestro partido. Empezar por casa. ,Echar al Banco Mundial del país. ,Que la guardia Nacional tenga módulos en tosas las colonias precencia en todas las calles. ,Mejorar capacitación del personal en el exterior.,EDOMEX,16
Voto popular y atención a los hospitales.,Supervision a policías. ,Más seguridad en las escuelas secundarias y prepas. ,Atender la migración.,EDOMEX,16
No promover lo que no estoy dispuesto a hacer. La corrupción emana de quien la promueve. ,Policía más eficiente. ,Mejorar las patrullas y el personal de policía.,Importar y crear tecnologia para la producción sustentable.,EDOMEX,16
Defender al pueblo porque es el primero afectado y que realmente sean personas morenistas. ,Fiscalizar a fondo licitaciones en obras públicas. ,Que la guardia Nacional tenga control total en todos lados. ,Mejorar y capacitar al personal del exterior para dar mejor atención.,EDOMEX,16
Revisar que los presidente realmente usen el recurso para ponerlos a trabajar. ,Usar la tecnologías para erradicar la corrupción. ,Coordinación de los tres poderes para el combate a la inseguridad. ,Reforzar aduanas.,EDOMEX,16
Que realmente se escuche al pueblo en sus necesidades locales. De ahí se busque formar solucionar el problema. Que el sistema de salud realmente se le dé asistencia a las personas. Sin importar si son de esa región o de otro estado. ,Mejorar el control y vigilancia de toda institucion pública. ,Atender a personas con discapacidad como parte de las causas profundas de la violencia. ,Traer profesores capacitados en tecnologías para ser potencia mundial en Inteligencia Artificial,EDOMEX,16
Revocación de mandato en los municipios. ,Terminar con conseciones en los corralones. ,Extender el programa a personas discapacitadas. ,Defensa al voto inmigrante.,EDOMEX,16
Que los servidores públicos qué ganan más que el presidente renuncien. ,Auditorías a todas las instituciones del gobierno para evitar saqueos. ,Proyecto contra el abuso del poder. ,Acuerdo Mundial de Cooperación en Armonía con Naturaleza y Bienestar,EDOMEX,16
Que ningún espacio de acción Pública quede sin que pueda ser revisado y modificado en su actuar por el pueblo. ,Limpia de mandos corruptos en policías estatales y municipales. ,Concientizar sobre el concepto de democracia. ,No al FMI y al BM,EDOMEX,16
"Reformar los ministerios públicos, qué sean supervisados por la sociedad civil. ",Desaparición de la policía estatal. Unificarlas con la municipal. ,Atender el problema del agua. ,Fomentar la cooperación entre pueblos.,EDOMEX,16
Sueldos justos para políticos.,Asegurar las necesidades básicas como el agua. ,Combatir la corrupción en la fiscalía. ,,EDOMEX,16
Revocación de mandato en todos los niveles del gobierno. ,Que se límite el negocio de las pipas de agua en Ecatepec. ,Facilitar los procesos de repartición de justicia. ,,EDOMEX,16
Implementar el voto electrónico.,Transparencia y fiscalización. ,"Que se trabaje bajo el dicho: ""El poder es para servir al pueblo, no para servirse"".",,EDOMEX,16
Revocación de mandato aplicada a los miembros del poder judicial. ,Que se quite el fuero. ,Más seguridad dentro de las escuelas. ,,EDOMEX,16
Una nueva constitución de México ,Auditorías a hospitales. ,Atender las necesidades del ciudadano. ,,EDOMEX,16
Quitar la autonomía a algunas instituciones. ,Capacitar contra la corrupción a ministerios. ,Antidoping de Seguridad y Confianza a la policía. ,,EDOMEX,16
Garantizar que el estado no sea de las clases poderosas. ,Retomar los saberes de nuestros pueblos originarios. ,Cursos para madres solteras.,,EDOMEX,16
Reformar el poder judicial. ,Evitar la corrupción en la policía. ,Capacitación a gobernantes. ,,EDOMEX,16
Asegurar a nivel República la ley federal de austeridad.,Que el fiscal general sea electo por la población. ,Cambiar a los magistrados para seguridad del país.,,EDOMEX,16
Que existan mecanismos públicos de información para el pueblo. ,Vigilancia y control a policías. ,Fortalecer el marco jurídico de los tres niveles de gobierno para garantizar la participación ciudadana.,,EDOMEX,16
Reforma judicial ,Castigar como delito grave la corrupción. ,Combate a la extorsión. ,,EDOMEX,16
Nueva constitución. ,"Investigar a funcionarios públicos, policías. ",Cuidar áreas verdes.,,EDOMEX,16
,Cárcel a corruptos. ,Evitar el robo del agua.,,EDOMEX,16
,Revocación de mandato para todo servidor público. ,Más apoyo a las colonias y arreglar la repartición del agua.,,EDOMEX,16
,Castigo ejemplar a los altos funcionarios qué actúan en contra del pueblo. ,Apoyo a personas con discapacidad.,,EDOMEX,16
,,Defender el acceso al agua potable.,,EDOMEX,16
,,Extender la edad del programa para discapacidad.,,EDOMEX,16
,,Arreglar calles y alumbrado público.,,EDOMEX,16
,,Iluminación y senderos seguros.,,EDOMEX,16
,,Seguridad en todos los planteles educativos.,,EDOMEX,16
,,Defender la ley de amnistía.,,EDOMEX,16
,,Crear una nueva política penitenciaria.,,EDOMEX,16
,,Policía de proximidad.,,EDOMEX,16
,,"Trabajar para que la ética en todo lo que se hace, se aplique. ",,EDOMEX,16
,,"Dar clases de civismo, ética y política en las escuelas. ",,EDOMEX,16
,,Agregar una materia de ética y política desde la secundaria a la preparatoria. ,,EDOMEX,16
,,Checar qué la fiscalía haga su trabajo. ,,EDOMEX,16
,,Vigilancia severa a policías municipales. ,,EDOMEX,16
,,Lámparas y cámaras. Más vigilancia. ,,EDOMEX,16
,,Refugios para drogadictos. ,,EDOMEX,16
,,"Exhibir hipócritas, mentirosos y corruptos en redes sociales. ",,EDOMEX,16
,,Cárcel a funcionarios públicos corruptos y sin derecho al amparo. ,,EDOMEX,16
,,Elegir a jueces y magistrados por votación. ,,EDOMEX,16
,,Dotar de herramientas científicas y tecnológicas a fuerzas de seguridad. ,,EDOMEX,16
,,Terminar con los puntos de ventas de estupefacientes. ,,EDOMEX,16
,,Dar apoyo a organizaciones qué ayudan a la comunidad. ,,EDOMEX,16
Mejorar la comunicación sobre nuevas leyes para que podamos entenderlas todos,Limpieza a la policía del Estado de México y menos plurinacionales,Mejorar las vialidades públicas,Que México se mantenga al margen de los conflictos externos sin dejar de apoyar las necesidades,EDOMEX,17
Más derechos para adultos mayores,Mecanismos de evaluación y vigilancia en la policía municipal,Auditar a trabajadores dedicados a la impartición de justicia,Apoyo a proyectos educativos a nivel internacional,EDOMEX,17
Que se acabe con el influyentismo político de los partidos suprimiendo con presupuesto a partidos y sólo dar financiamiento durante la campaña,Legislaciones para impedir el soborno,Presupuesto para la atención de víctimas. Que no sea a solicitud si no por oficio,Que México siga al margen de conflictos externos,EDOMEX,17
Regular ruido de vehículos,"Que se quite el fuero a políticos, que se analice a fondo el trabajo de cada servidor para evitar mal manejo de nuestro dinero",Auditar a políticos para vigilar que no estén actuando a su beneficio,Que México mantenga su postura de liderazgo,EDOMEX,17
Dar apoyos a los adultos mayores que llevan al metro a pedir dinero y no dejar que la familia les quite lo ganado,Capacitación y formación de policías,Mejorar la atención del MP,"Que no se le niegue la educación a nadie, tampoco a migrantes",EDOMEX,17
Apoyos para mujeres de 40 a 59,Auditoría a funcionarios públicos para la buena administración pública,Reforma al Poder Judicial,Que México no participe en guerra,EDOMEX,17
Derechos a los animales,Combatir y recuperar el recurso público perdido del FOBAPROA. Crear un banco del estado.,Arreglar las calles y dar acceso al agua,Participación en votaciones de connacionales en el extranjero,EDOMEX,17
Acceso al agua,Mayor supervición en instituciones gubernamentales,Servidores más responsables y que cumplan,Que siga la autonomía de los pueblos,EDOMEX,17
Reformas que garanticen que los servidores sean honestos,Que las leyes que existan se blinden a nivel constitucional,Medidas más claras para combatir la corrupción al interior de la poicía ,Fortalecimiento de México en ámbitos económicos y de transporte,EDOMEX,17
Mecanismos de participación para dar seguimiento a propuestas y ver que se cumplan,Que la administración de las instituciones y empresas esté en manos del pueblo,Garantizar el acceso al agua,No intervención de Estados Unidos en la política,EDOMEX,17
Herramientas para que servidores públicos corruptos sean expulsados,Mayor supervición a funcionarios públicos,Mejorar la seguridad para adultos mayores,Defender el interés del pueblo,EDOMEX,17
Que haya sanciones más severas a servidores públicos que no cumplan,Socializar el tema desde la escuela,Integrar en la educación el tema,Que siga la autonomía de los pueblos,EDOMEX,17
Reforma fiscal para que paguen los ricos,Mecanismos para eliminar el clientelismo,Hace falta reforma al poder judicial para poner sanciones más severas,Que siga la autonomía de los pueblos,EDOMEX,17
"Que se reduzca el ruido en motos, coches, camiones. Yo tengo un vecino que escucha música todo el día con volúmen muy alto",Mejorar el servicio de atención y recepción de denuncias,Reforma al poder judicial,,EDOMEX,17
Tener agua,Que todas las concesiones de carreteras sean reguladas por el estado y no por empresas privadas ya que es muy poca cantidad que llega para el Estado. Que todas las empresas públicas y privadas sean auditadas,Juicio a expresidentes que iniciaron la guerra contra el narco y la injusticia,,EDOMEX,17
Mejorar servicios básicos en la colonia,Implementar mecanismos para supervisar que los servidores públicos no se sirvan del pueblo,Programas para calles seguras en puntos rojos,,EDOMEX,17
"Que los carros que cobran predial, agua y luz sí lleguen",,Mejorar las capacidades de servidores públicos para que desempeñen su labor bien,,EDOMEX,17
Reducción de la burocracia y trámites innecesarios,,"Mejorar combate a la corrupción al interior de la policía, contratar a personas honestas",,EDOMEX,17
Tener agua en Ecatepec y que no nos la estén quitando,,"Reforma constitucional para magistrados corruptos, justicia para todos, nadie sobre la ley",,EDOMEX,17
"Mejorar servicio para cobro de luz, agua y predial",,"Educación, capacitación, filtros de confianza, más seguridad",,EDOMEX,17
"Que los ministros se ajusten a la Constitución y que sus salarios sean regulados, que desaparezcan plurinominales y regular organismos autónomos",,Mecanismos para garantizar la honestidad de los servidores,,EDOMEX,17
Regular salarios de servidores públicos,,"Depurar la policía y expulsar a funcionarios que no cumplan, así como juicio a políticos corruptos",,EDOMEX,17
Que el ciudadano que ponga la denuncia no sea ignorado,,Limpieza en la policía,,EDOMEX,17
Que todos los servidores públicos sean electos por el pueblo,,"Que los policías dejen de cargar a albañoles, jardineros que trabajan en la calle en lugar de a delincuentes",,EDOMEX,17
Mejorar la infraestructura de las escuelas y la educación,,Terminar con la colusión entre la policía y el crimen,,EDOMEX,17
Que no haya reelección en ningún nivel,,Mejorar los juicios para encarcelar y que los criminales y corruptos no puedan salir,,EDOMEX,17
Más mecanismos para tener atención ,,Dar opciones para que no se hagan bandas de delincuencia,,EDOMEX,17
Mecanismos de supervición a funcionarios para vigilar que cumplan lo que prometieron,,Renovar al MP porque son corruptos,,EDOMEX,17
Más interés y apoyo a las escuelas,,Que los policías cumplan y protejan a los ciudadanos y no agredirlos,,EDOMEX,17
Reducir salarios de servidores públicos,,Seguir apoyando a los jóvenes y darles trabajo,,EDOMEX,17
Que los puestos públicos sean ocupados por personas con capacidades e integridad,,Regular ministerios públicos asi como depurar a la policía estatal,,EDOMEX,17
Mejorar mecanismos de supervición para asegurar que la persona que tenga el puesto trabaje con  compromiso y dignidad ,,Que no se deje salir a los maleantes y se compruebe la inocencia de los inocentes ricos,,EDOMEX,17
Más apoyos de bienestar para niños,,Dar más apoyos y trabajar en coordinación con las escuelas,,EDOMEX,17
Depuración de servidores corruptos en las instituciones,,Más acciones para combatir la violencia intrafamiliar. Dar acceso al agua,,EDOMEX,17
Depuración de elementos policiacos corruptos y prepotentes,,Trabajo social de campo en las investigaciones,,EDOMEX,17
Que los ministros no se perpetuen en el cargo y no tengan privilegios cuando acaben,,Desterrar los abusos de la policía y la extorsión,,EDOMEX,17
Que los compañeros en el poder no se olviden de servir al pueblo y no roben como hasta ahora,,Mejorar la atención y comunicación de las autoridades,,EDOMEX,17
Que cada persona que ocupe un cargo público sea elegido democráticamente por el pueblo y que el periodo no dure más de 3 años,,Dar agua para tener seguridad,,EDOMEX,17
Que bajen sueldos de funcionarios públicos ,,Mejorar los servicios en las colonias para tener calles seguras,,EDOMEX,17
Más apoyos y oportunidades para jóvenes,,Más mecanismos para garantizar que los funcionarios son honestos,,EDOMEX,17
Mejorar apoyos y respeto a adultos de la tercera edad para que no tengan que seguir trabajando ,,Más apoyos sociales a madres solteras y a personas mayores de 40 años,,EDOMEX,17
Revocación de mandato en todos los niveles sin excepción,,Garantizar el agua porque por eso hay problemas entre vecinos,,EDOMEX,17
"Mejorar los servicios públicos: pavimento, agua. Mejorar atención para mujeres",,Dar agua para que haya seguridad,,EDOMEX,17
Regulación y supervición a partidos políticos,,Justicia para todos y no para unos cuantos,,EDOMEX,17
Revocación de mandato en todos los niveles,,Más apoyos sociales ,,EDOMEX,17
Los servidores de alto nivel puedan ser juzgados y removidos de sus puestos sin ningún pretexto,,Hacer brigadas con los vecinos,,EDOMEX,17
Que cada persona que ocupa un cargo público sea elegido,,Dar agua,,EDOMEX,17
Derecho al agua,,"Agua, alumbrado público, arreglar calles",,EDOMEX,17
"Vigilancia a propuestas de campaña, revocación de mandato",,Derecho a los animales,,EDOMEX,17
Eliminar el influyentismo,,Mejorar la coordinación entre organismos de impartición de justicia y personas,,EDOMEX,17
Mejorar servicios públicos en la colonia,,Derecho al agua para seguridad,,EDOMEX,17
Derechos a los animales,,Pavimentado de calles,,EDOMEX,17
Subsidios populares para agua y predio,,Revocación de mandato en todos los niveles,,EDOMEX,17
Atención veterinaria pública,,Tener acceso al agua y mejorar la seguridad en las calles. Regular la poseción de armas,,EDOMEX,17
Crear la policía de barrio,,Retomar o crear la policía de barrio,,EDOMEX,17
Que no haya dispendio,,Brigadas de vigilancia vecinales,,EDOMEX,17
Apoyos a mujeres desempleadas de entre 40 y 50 años,,,,EDOMEX,17
Acceso al agua,,,,EDOMEX,17
Revocación de mandato a todos los funcionarios,,,,EDOMEX,17
Derecho al agua a la alimentación,,,,EDOMEX,17
Derecho al agua,,,,EDOMEX,17
Regular programas sociales porque no llegan,,,,EDOMEX,17
Eliminar plurinacionales y que estén al servicio del pueblo,,,,EDOMEX,17
Mejor preparación para los ministros y que sean electos,,,,EDOMEX,17
Tener leyes al servicio del pueblo,,,,EDOMEX,17
Disminuir la burocracia ,,,,EDOMEX,17
Agua para todos,,,,EDOMEX,17
Que haya agua,,,,EDOMEX,17
Más apoyos para las madres y discapacitados,,,,EDOMEX,17
No más órganos autónomos,,,,EDOMEX,17
"Que la justicia sea para todos, no sólo para la gente con recursos",,,,EDOMEX,17
"Combatir la corrupción, dandole prioridad a la opinión del pueblo.",Sancionar a todos los jueces que se vendan,Realmente implementar lo discutido en las mesas de trabajo,Poner más énfasis en la competencia científica y tecnológica,EDOMEX,18
Darle oportunidad a gente nueva,Fortalecer la participación ciudadana establecer en todos los ámbitos de gobierno la revocación de mandato,Que se cambie la policía corrupta y que se modifique el código penal,Considero que la participación de México es de suma importancia y se define en gobernar con valores,EDOMEX,18
Que se le haga justicia a las personas de bajos recursos porque se les hace justicia solo a personas con dinero,Reforma en los penales para mujeres,Cambio total de jueces quienes deberán ser evaluados cada 1 y cada año,Que pueda crecer más en el ámbito energético,EDOMEX,18
Aval ciudadano y participación que ocupe los cargos en el OTC,Ser muy estrictos en la incorporación de gente de otros partidos políticos,Más seguridad para todos,Continuar con el blindaje de los recursos en México además de la regulación de los mismos,EDOMEX,18
Organización movilización y construcción del poder popular,Quitar cualquier imposición de jueces,Poner oficiales que sí vean el maltrato o que no se queden callados,La detención del tráfico en armas,EDOMEX,18
"Reformas a los artículos constitucional 130, 24 y 3o que garanticen efectivamente el estado laico",Aplicar la ley en todos los niveles,Poner en mandos de policías jueces MP gente capacitada,Solicitar visas a extranjeros,EDOMEX,18
Que se incentive más a la ciudadanía para ser más participativos,"Conocer nuestros derechos , decir no coma denunciar , organizarse; tomar en cuenta estos 4 puntos éticos",Que la persona que va a quedar continúe trabajando,"Promover el capital humano para la creación de tecnologías, la cooperación entre países, primero debe protegerse la soberanía nacional",EDOMEX,18
Reforma electoral y reforma judicial,Checar el tema inmobiliario en todo el estado y a nivel nacional,Hacer reglas más estrictas a los políticos en todo el País,Generar leyes que protegen la soberanía específicamente donde no se permita el ingreso económico para desestabilizar al país,EDOMEX,18
Que se considere estrictamente con ética profesional a las personas que integren los órganos autónomos,Reforma la ley agraria de tal manera que se le dé solución asertiva y reconocimiento al territorio de las comunidades agrarias,"Que los capaciten en ética, valores y humanismo a la policía, MP y jueces",Impulsar más el sector agrícola,EDOMEX,18
Ética profesional y apoyo a la mujer para puestos en cualquier dependencia y órgano,"Que existe gente preparada que realmente revise si son culpables o no, de cualquier delito",Que los gobiernos dejen de pedir dinero a los policías para que pare la corrupción,Combaten la corrupción por parte de extranjeros en territorio mexicano,EDOMEX,18
Sería bueno que el impuesto ISR fuera un porcentaje fijo como el IVA para que el trabajador supiera cuánto paga de ese impuesto,Revisar carteles inmobiliarios en terreno comunal de Huixquilucan,Utilizar las plataformas digitales para regular y educar a la sociedad,La reactivación de la agenda espacial,EDOMEX,18
En los municipios sí se les haga auditoría para garantizar que todos sirvan al pueblo y no se sirvan del pueblo estado laico,"Realizar investigación de funcionarios públicos que quieren participar, para no continuar la corrupción",Focalizarse más en los derechos humanos para la seguridad de cada ciudadano,,EDOMEX,18
La corte de Justicia y todos los miembros de las reformas activar desde la reforma laica,No dejar que entren personas de otros partidos políticos antes investigarlos porque algunos son muy corruptos,Que el Estado tome el control de los medios de comunicación y producción,,EDOMEX,18
Apoyo a la comunidad LGTBYQ,"Reforma el Poder Judicial en el Estado de México simplificar trámites , fomentar la cultura de la denuncia",Someter a exámenes de confianza a los mandos municipales y Seguridad Pública,,EDOMEX,18
Que todos sean electos democráticamente por el pueblo sin corrupción del INE,Respetar las leyes actuales y hacer que se cumplan,Erradicar las causas de violencia para educar una sociedad y estado en justicia,,EDOMEX,18
Que la seguridad verdaderamene se aplique porque existe  inseguridad en el País,Seguir con fomentando la participación de la sociedad informando y concientizando a través de este tipo de ejercicios de participación ciudadana,Un cambio de personal en dependencia y evaluados por servicios especiales o que sean removidos,,EDOMEX,18
Que los comisariados de bienes comunales y ejidales de administración que sean traidores sean juzgados por vender y apropiarse de tierras,"Combatir la corrupción de ese regidores, presidentes municipales y directores municipales","Erradicar la corrupción, formar con valores a todos los servidores públicos que el gobierno ponga plataformas de enseñanza de valores y no como novelas o videos de destrucción",,EDOMEX,18
"Estado laico, ética profesional , organización y movilización , reforma judicial",Combatir la impunidad en los 3 órdenes de gobierno,Hola cortana,,EDOMEX,18
Que la revocación del mandato sea para los 3 niveles de gobierno y para los municipios,Que los servidores públicos además de ser y estar preparados que tengan calidad moral,,,EDOMEX,18
,Que los magistrados sean elegidos por el pueblo,,,EDOMEX,18
,"Saca a la mafia del poder, princupalmente para hacer justicia",,,EDOMEX,18
,Que salga la presidenta de la Suprema Corte de Justicia y presidente del Consejo de la judicatura federal la ciudadana Norma Lucía Piña Hernández pues es delito llamado prevaricato,,,EDOMEX,18
,"Que se realicen test psicológicos a cada persona que vaya a cubrir un cargo público, para verificar si es apto para cubrir el puesto o no",,,EDOMEX,18
,Estar más organizado para combatir toda la corrupción,,,EDOMEX,18
,Que se vote todo el pueblo para poner a los ministros ,,,EDOMEX,18
,"Reforma al Poder Judicial pero aquel que incurre en corrupción que pague con pena y no con soborno, chantaje o compra. Ataque al narcotráfico",,,EDOMEX,18
,No involucrar ni meter a gente que venga de otros partidos o familiares ellos son los que contaminan el partido y sus principios,,,EDOMEX,18
Consolidar que el poder judicial sirva al pueblo.Decomiso de la riqueza mal habida.,No permitir que nadie de otros partidos sean propuestos para cargos que solo corresponde a MORENA.,Combatir la inseguridad,Consumir más productos mexicanos y volver más competitivas a las empresas mexicanas.,EDOMEX,19
"Fuera nepotismo, fuera amiguismo que se tome en cuenta a quienes trabajamos en campo y se les de oportunidad a quienes trabajamos en campo y se les de oportunidad de seguir avanzando.",Participación ciudadana siempre.,Fortalcer a la Guardia Nacional,Abrir mentes y revolucionar conciencias.,EDOMEX,19
Que se cambie el poder judicial.,Que esten atentos a que los funcionarios públicos hagan bien sus funciones. ,Retomar y fortalecer las bases de la república amorosa.,Políticas sobre la infancia.,EDOMEX,19
"Desaparición de organos autonomos. Que sea un derecho constitucional la vivienda muchos mexicanos no tenemos acceso acceso a la vivienda digna, tenemos que pagar renta.",Combair la corrupción con todo el peso de la ley.,"Legistar con iniciativa de ley para elección popular de la SCJN. Programa de educación civica desde el nivel básico, promover el humanismo mexicano",Defender a la patria del agrointernacional y del intervencionismo de los Estados Unidos. ,EDOMEX,19
"Cambios en la cultura, iniciar en la educación.",Terminar con el personal crrupto y poner penas ejemplares para que no vuelvan a reincidir.,Atender los origenes de la violencia que es en los hogares.,Entender la multiculturalidad y abrirse a los mercados.,EDOMEX,19
"Revocación por consulta de los miembros del poder judicial, evaluación a los trabajadores del sistema judicial desde los administrativos.",Un mayor cuidado al presupuesto para obras y programas sociiales más filtros.,Mejorar la seguridad municipal.,Mayor información de lo que pasa en el mundo,EDOMEX,19
Aplicar plan C. Reforma a las leyes secundarias. Reparar el daño al pueblo volentado. Garantizar derechos fundamentales al pueblo de México. Por el bien de todos primero los pobres. ,"La corrupción inicia desde casa, propongo platicas en todo nivel educativo para concientizar desde muy jóvenes y erradicarlos.",Tener mayor apoyo en los servicios de seguridad y las asesorias correspondientes  en el tema.,"Que los funcionarios que nos representan en el extrajero, trabajen verdaderamente para el pueblo.",EDOMEX,19
"La sensibilización de funcionarios públicos en temas de género, atención pronto y expedita a todas las mujeres en la materia.",Quitar a los representantes y funcionarios corruptos.,Reforzar la fiscalia de la corrupción echar andar el Plan C.,Que se reforme la ONU y la OEA,EDOMEX,19
Hacer una profund reorganizaión de la reformas a la constitución para regresar al puebloel marco jurídico que garantice todos sus derechos,Sacar a todos los políticos corruptos y que los funcionarios sea apeguen a sus responsabilidades.,Más fuerza a las mujres. ,Mayor relación con los países progresitas de América Latina y defensa de los migrantes.,EDOMEX,19
Que sea obligatorio crear foros de participación ciudadana.,Sabemos que MORENA es un partido político incluyente pero no incluir priistas es caer nuevamente en corrupción.,Apoyo y claridad en el debido proceso judicial.,Mayor soberanía.,EDOMEX,19
Que la deuda pública se ponga a votación de la ciudadania para que se apruebe o no. ,"Investigar a los funcionarios, sacar a los avidores en todos los puestos administrativos de gobierno.","Implementar en las escuelas psicologos y terapeutas para problemas de aprendizaje y familiares. Espacios para artes, ingles y computación",Autodeterminación de los pueblos,EDOMEX,19
Revisión de la leyes modificadas por los gobiernos neoliberales para cambiarlas en beneficio del pueblo. Limitar el tiempo de los funcionarios públicos en sus cargos y quitaar los trabajadores de estado improductivos.,Que metan a los políticos corruptos a la carcel.,"Tener espacios e innstituciones para indigentes, lo cual ayudaría a la busqueda de desaparecidos.",Se deben proteger las semillas nativas antes los transgenicos.,EDOMEX,19
Que haya más jovenes en cargos públicos.,Combatir la corrupción a todos los niveles.,"Reforma a los ministerios públicos; atribuciones, nombramientos y facultades dentro de la reforma al poder judicial.",Apoyo mutuo entre las naciones.,EDOMEX,19
Consejo de la judicatura independiente de la suprema corte de justicia de la nación.,Que hagan una autentica transparencia en los presupuestos públicos; que la deuda pública sea puesta a consulta ciudadana.,Implementación de la pena de muerte para criminales.,"Promover la nación internacional, promover los programas identitatios. Crear colonias migrantes.",EDOMEX,19
A favor de Plan C. Que no se le de dinero a ningun partido político,Que 6 meses antes que los funcionarios dejen sus cargos hacer auditorias.,Prevevir y combatir la violencia contra las mujeres y los feminidios.,Crear una alianza entre organismos de todos los países latinoaméricanos.,EDOMEX,19
"No al cuarto poder, ni a los organismos independientes.","Acceso a la justicia y apoyo sino se cuentan con los recursos económicos necesarios,",Más guardia nacional.,Recuperar el dineros de las empresas internacionales que nos han saqueado.,EDOMEX,19
Reforma política que los partidos sean financiados por simbatizantes y militantes.,"Mejorar el sistema de justicia,",Promover la igualdad entre hombres y mujeres en todo el país.,El fortalecimiento de la CELAC por América Latian fuerte.,EDOMEX,19
Que los ministros de la corte sean elegidos por el pueblo.,No al pago del FOBAPROA.,Educar a los padres de familia.,Promocionar el comercio local con los países extranjeros.,EDOMEX,19
Plan C para apoyar a la 4T.,"Creación de tribunas del pueblo, representanes del pueblo por colonia que observen el accionar delos servidores públicos.",Coordinación entre los 3 poderes para que seactue contra corrupción,Unidad en toda latinoamérica. ,EDOMEX,19
"Reforma del sistema judicial, de los organos autonomos. Aplicar el plan C.",Se tiene que enseñar desde la primaria a los niños y formar una cutura contra la corrupción,Deben educar a los niños en valores civicos.,"Qué México mantenga una postura firme frente al neoliberalismo y neocolonialismo, que no hagamos el trabajo sucio de los organismos internacionales. ",EDOMEX,19
Regresar al pueblo lo robado.,Señalar a los servidores públicos sino hacen su trabajo de manera limpia,Transversalidad de las diferentes aréas de gobierno,Restringir derechos políticos a extranjeros.,EDOMEX,19
Unidad en la 4T por el interes mayor de la nación.,Implementación de nuevas leyes.,"Areás para actividades recreativas, sociales y comnitarias para que los jovenes se desarrollen.",Respeto a la soberanía de los pueblos. ,EDOMEX,19
"Reducir el poder judicial, ya que este no representa los intereses del pueblo.",Propuestas a nivel local para eliminar la corrupción.,Fomentos a la cultura y el deporte. ,Cuidar a los mexicanos en el extranjero.,EDOMEX,19
Plan C para acabar con la corrupción.,Una fiscalia ciudadana para auditar a los funcionarios públicos.,Desarrollo de programas para niños. ,Buscar unir familias de mexicanos en el extranjero,EDOMEX,19
Trámites más eficientes a todos los niveles de gobierno.,Que se den cuentas de las acciones de gobierno por año y si eta mal se cambie a los responsables.,"Mayores apoyos a los jóvenes, herramientas informativas, culturales, sociales para su mayor convivencia.",Reguir fortaleciendo la relación en América Latina.,EDOMEX,19
"Piso parejo a los tres poder ejecutivo, judicial y legislativo, limpiar al poder judicial.",Que no haya influyentismo,Mantener seguimiento con las victimas sobre la investigación a fin de mantener su participación.,Seguir con la política internacional de Obrador. ,EDOMEX,19
Cero pesos a los partidos políticos. Plan C. Unicamente MORENA sin coaliciones.,Mayor combate a los corruptos.,Comites comunitarios de paz y justicia.,Establecer en la Constitución la necesidad de la unidad de México con nuestra América.,EDOMEX,19
Que el pueblo sea el encargado de llevar el financiamiento de los partidos políticos.,Formar comites de colonia y denunciar a los malos funcionarios administrativos.,Depurar a los policias corruptos.,Escuchar a los mexicanos en el exterior.,EDOMEX,19
Plan C. Toda deuda debe ser consultada.,Hacer juntas comunitarias con la juventud y denunciar a los malos policias.,Combatir la corrupción en el poder judicial. ,Que las embajadas de México ayuden a los mexicanos.,EDOMEX,19
Un sindicatos ciudadano en el que los inegrantes tengan la facultad de vigilar a los servideores públicos.,La educación civica y la educación familiar.,Promover los valores como la honestidad.,Cuidarnos de las empresas extranjeras.,EDOMEX,19
Que el pueblo elija a los magistrados. Que se elimine a los servidores públicos corruptos del INE. Que los gobiernos municipales no participen en campañas electorales y votaciones. ,Acabar con los lujos y frivolidades hay que cambiar las estructuras mentales.,Que se oriente a los padres en la formación de los hijos para que esta sea la base de valores de la paz y humanismo,Cerremos el paso al facismo.,EDOMEX,19
Que se juzque a los expresidentes.,"Impulsar la participación ciudadana y denunciar a las malas administraciones, comites de ciudadanos vigilantes.",Que haya más policias en las calles.,,EDOMEX,19
,Mayor acceso a la información y de los institutos de transparencia.,Trabajo con la sociedad civil desde los diferentes ordenes de gobierno,,EDOMEX,19
,Que los corruptos vayan a la carcel.,No permitir jueces corruptos,,EDOMEX,19
,Combatir el neoliberalismo.,Reforma al poder judcial,,EDOMEX,19
,"Remover a la funcionarios corruptos, no reelección a puestos públicos y que estos se considere corrupción.",Combatir al poder judicial para disminuir la corrupción.,,EDOMEX,19
,Funcionarios con experiencia comprobada para los cargos públicos.,Más seguridad,,EDOMEX,19
,"Investigar al candidato y candidata, su trayectoria para ocupar un cargo público.",Aumentos en los salarios de la fuerza pública.,,EDOMEX,19
,Evaluación a los servidores públicos.,Que no sea olvidado el federalismo.,,EDOMEX,19
,"Todo necesita transparencia, transparentar los gastos públicos.",Justicia social.,,EDOMEX,19
,"Que los políticos corruptos, ya no tengan la oprtunidad de estar en el gobierno, Colaboración ciudania-gobierno.",Policia de Genero y defensa y justicia animal.,,EDOMEX,19
,Centralizar para que el gobierno federal vigilie el manejo de los recursos públicos a todos los niveles. ,Mejore preparación para los servidores públicos.,,EDOMEX,19
,Ley de patrimonio nacional que impida la privatización.,"Implementar jornada de la cultura y la paz en las escuelas, atender a las infancias y jóvenes. ",,EDOMEX,19
